Title,Location,Price,Area,No.of rooms,Interior
                        Apartment Hoofdweg                            ,            1058 BC Amsterdam (Westindische Buurt)        ,"                €3,000 per month            ",155 m²,6 rooms
                        Apartment Haringvlietstraat 15 I                            ,            1078 JZ Amsterdam (Scheldebuurt)        ,"                €2,500 per month            ",91 m²,5 rooms
                        Apartment Roerstraat 69                            ,            1078 LK Amsterdam (Scheldebuurt)        ,"                €1,900 per month            ",70 m²,3 rooms
                        Apartment Kloveniersburgwal                            ,            1011 JX Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,595 per month            ",100 m²,2 rooms
                        Apartment Stadionkade 1 2                            ,            1077 VG Amsterdam (Apollobuurt)        ,"                €2,500 per month            ",106 m²,5 rooms
                        House Akkerdistelstraat 4                            ,            1031 JZ Amsterdam (Noordelijke IJ-oevers West)        ,"                €2,750 per month            ",203 m²,7 rooms
                        Apartment Kinkerstraat                            ,            1053 DR Amsterdam (Van Lennepbuurt)        ,"                €2,500 per month            ",70 m²,3 rooms
                        Apartment Bilderdijkkade 34 a HS                            ,            1053 VD Amsterdam (Kinkerbuurt)        ,"                €1,900 per month            ",60 m²,2 rooms
                        Apartment Gerard Doustraat                            ,            1073 XA Amsterdam (Oude Pijp)        ,"                €2,000 per month            ",56 m²,2 rooms
                        Apartment Commelinstraat                            ,            1093 TR Amsterdam (Dapperbuurt)        ,"                €2,450 per month            ",70 m²,3 rooms
                        Apartment Jacques Oppenheimstraat                            ,            1063 PS Amsterdam (Slotermeer-Zuidwest)        ,"                €1,950 per month            ",70 m²,4 rooms
                        Apartment Krombekstraat                            ,"            1104 KT Amsterdam (Bijlmer Oost (E,G,K))        ","                €1,850 per month            ",65 m²,2 rooms
                        Apartment Courbetstraat 10 II                            ,            1077 ZT Amsterdam (Apollobuurt)        ,"                €1,152 per month            ",30 m²,1 room
                        Apartment Tweede Kostverlorenkade 24 III                            ,            1053 TP Amsterdam (Kinkerbuurt)        ,"                €2,100 per month            ",72 m²,3 rooms
                        Apartment Vondelkerkstraat                            ,            1054 KZ Amsterdam (Overtoomse Sluis)        ,"                €4,000 per month            ",120 m²,4 rooms
                        Apartment Paramaribostraat 35 III                            ,            1058 VG Amsterdam (Westindische Buurt)        ,"                €1,975 per month            ",50 m²,2 rooms
                        Apartment Goudsbloemstraat                            ,            1015 JJ Amsterdam (Jordaan)        ,"                €1,250 per month            ",35 m²,2 rooms
                        Apartment Nieuw Herlaer                            ,            1083 BB Amsterdam (Buitenveldert-Oost)        ,"                €2,100 per month            ",125 m²,4 rooms
                        Apartment Sint Nicolaasstraat 2 B                            ,            1012 NK Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,500 per month            ",100 m²,4 rooms
                        Apartment Sprinklerstraat                            ,            1019 VR Amsterdam (Indische Buurt Oost)        ,"                €2,500 per month            ",94 m²,3 rooms
                        House Bloemgracht 172                            ,            1015 TV Amsterdam (Jordaan)        ,"                €6,000 per month            ",202 m²,8 rooms
                        Apartment Rijswijkstraat 151 B                            ,            1062 ES Amsterdam (Westlandgracht)        ,"                €1,250 per month            ",52 m²,2 rooms
                        Apartment Pieter Calandlaan                            ,            1069 SC Amsterdam (Osdorp-Midden)        ,"                €1,750 per month            ",90 m²,3 rooms
                        Apartment Rustenburgerstraat 146 A22                            ,            1073 GJ Amsterdam (Nieuwe Pijp)        ,"                €2,150 per month            ",55 m²,3 rooms
                        Apartment Groen van Prinstererstraat                            ,            1051 EH Amsterdam (Staatsliedenbuurt)        ,"                €2,400 per month            ",73 m²,3 rooms
                        Apartment Korte Ouderkerkerdijk 1 W2                            ,            1096 AC Amsterdam (Omval/Overamstel)        ,"                €10,500 per month            ",196 m²,4 rooms
                        Apartment Dusartstraat                            ,            1072 HV Amsterdam (Nieuwe Pijp)        ,"                €2,500 per month            ",75 m²,3 rooms
                        Apartment Rheastraat 24                            ,            1076 DS Amsterdam (Stadionbuurt)        ,"                €2,750 per month            ",125 m²,3 rooms
                        Apartment Tolstraat 42 1                            ,            1073 SC Amsterdam (Zuid Pijp)        ,"                €1,850 per month            ",45 m²,2 rooms
                        Apartment Gillis van Ledenberchstraat                            ,            1052 VG Amsterdam (Frederik Hendrikbuurt)        ,"                €1,850 per month            ",76 m²,3 rooms
                        Apartment Banstraat 55 II                            ,            1071 JX Amsterdam (Museumkwartier)        ,"                €2,100 per month            ",75 m²,2 rooms
